,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status,PCA
332,607.6666666666666,5,100000.0,100.0,4.94,0,15.0,0.0,0,0.0,3,25000.0,0.0,0.0,0.0,25000.0,0.0,5,100000.0,0.0,3463,1,-0.16337097343805296
333,662.0,0,150000.0,100.0,15.22,0,28.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,662.0,0,150000.0,100.0,5675,1,-0.167612176309861
334,624.0,0,150000.0,100.0,0.93,2,14.333333333333334,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,624.0,0,150000.0,100.0,4933,2,-0.1678275271727565
335,609.0,0,150000.0,100.0,4.95,0,4.0,0.0,0,87.66666667,0,113406.495,52849.66667,0.47,1.0,113406.495,609.0,0,150000.0,100.0,4618,1,-0.008180540931024985
336,432.0,3,0.0,100.0,3.06,0,13.0,0.0,0,60.0,0,50542.8,14812.8,0.29,1.0,50542.8,432.0,3,0.0,100.0,2828,2,-0.18501374311269844
337,519.0,2,35000.0,100.0,11.05,0,16.666666666666668,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,519.0,2,35000.0,100.0,4713,1,-0.2971484533889036
338,577.0,1,100000.0,100.0,0.73,2,6.0,1.333333333,1,26.0,0,350464.3333,37499.0,0.11,0.0,350464.3333,577.0,1,100000.0,100.0,3476,2,0.028033354430800766
339,646.0,0,150000.0,100.0,31.82,0,98.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,646.0,0,150000.0,100.0,2924,1,-0.16770285035739596
340,612.0,0,150000.0,100.0,6.02,0,80.0,0.75,0,25.0,0,90970.535,14522.0,0.16,2.0,90970.535,612.0,0,150000.0,100.0,569,1,0.006794060330836501
341,659.0,0,150000.0,100.0,1.23,1,72.0,5.5,3,17.0,0,179154.25,22916.0,0.13,0.0,179154.25,659.0,0,150000.0,100.0,611,0,0.022540024489744827
342,696.0,0,150000.0,50.0,3.85,0,30.666666666666668,0.0,0,2.5,3,309294.75,557187.5,1.8,0.0,309294.75,688.0,0,150000.0,100.0,2042,2,0.05230855876889676
343,510.0,2,35000.0,75.0,0.99,2,28.333333333333332,0.333333333,0,20.0,0,28115.0,4176.0,0.15,0.0,28115.0,510.0,2,35000.0,75.0,783,0,-0.16052931967659886
344,537.0,2,35000.0,100.0,9.88,0,17.0,0.25,0,32.75,0,115187.0,10049.5,0.09,2.0,115187.0,537.0,2,35000.0,100.0,2227,2,-0.13678333814778948
345,640.0,0,150000.0,100.0,2.31,0,43.0,0.75,0,20.0,0,52814.5,3015.75,0.06,1.0,52814.5,640.0,0,150000.0,100.0,5368,2,-0.015254027404883247
346,576.0,1,100000.0,100.0,3.65,0,80.0,0.0,0,61.0,0,39307.33333,5976.333333,0.15,1.0,39307.33333,576.0,1,100000.0,100.0,8181,0,-0.07561360193551094
347,548.0,2,35000.0,100.0,11.82,0,3.0,0.0,0,35.0,0,49774.75,6043.0,0.12,0.0,49774.75,548.0,2,35000.0,100.0,6916,0,-0.14540801983297155
348,600.0,0,150000.0,51.0,4.83,0,39.0,0.0,0,0.0,3,58165.0,2500.0,0.04,1.0,58165.0,623.0,0,150000.0,100.0,4443,0,-0.0229607321456844
349,537.0,2,35000.0,100.0,10.02,0,17.0,0.2,0,32.6,0,108504.4,12460.4,0.11,2.0,108504.4,537.0,2,35000.0,100.0,4122,0,-0.13877671694862492
350,698.0,0,150000.0,100.0,4.94,0,14.666666666666666,0.0,0,5.25,3,14755.4,4442.0,0.3,1.0,14755.4,698.0,0,150000.0,100.0,3637,2,-0.026278131264895657
351,643.0,0,150000.0,100.0,1.26,1,34.0,1.75,1,66.25,0,32116.75,1375.0,0.04,0.0,32116.75,643.0,0,150000.0,100.0,3367,1,-0.021411038542293225
352,661.0,0,150000.0,100.0,23.31,0,88.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,661.0,0,150000.0,100.0,4222,1,-0.16761784343783193
353,595.0,1,100000.0,100.0,1.82,1,6.0,2.666666667,2,51.33333333,0,21287.33333,3424.0,0.16,0.0,21287.33333,595.0,1,100000.0,100.0,3561,1,-0.08088118254079357
354,479.0,3,0.0,50.0,3.6,0,6.0,0.0,0,27.5,0,51259.0075,2750.0,0.05,1.0,51259.0075,479.0,3,0.0,50.0,5028,1,-0.2014237032309449
355,591.0,1,100000.0,100.0,7.07,0,86.0,0.857142857,0,5.714285714,2,137141.4286,5000.0,0.04,2.0,137141.4286,591.0,1,100000.0,100.0,6445,1,-0.03552022649134298
